price,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_bedrooms,fl_open_fire,fl_terrace,fl_garden,garden_sqm,fl_swimming_pool,subproperty_type_encoded,region_encoded,epc_encoded,state_encoded,province_encoded
455000.0,1702.0,1967.0,166.0,153.0,4.0,0.0,0.0,1.0,50.0,0.0,0,0,4,0,6
375000.0,2180.0,1961.0,161.0,267.0,4.0,0.0,0.0,1.0,99.0,0.0,0,0,8,1,2
179000.0,2660.0,1963.0,166.0,165.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,5,2
649000.0,1150.0,1955.0,175.0,114.0,4.0,0.0,1.0,1.0,25.0,0.0,0,2,8,1,5
499000.0,9500.0,2021.0,162.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1,0,5,0,1
150000.0,7332.0,1989.0,186.0,770.0,4.0,0.0,1.0,1.0,550.0,0.0,0,1,9,2,3
321300.0,2430.0,2022.0,105.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0,2
290000.0,8520.0,1977.0,148.0,449.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,4,1,0
315871.0,4000.0,2022.0,103.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,1,3,0,4
725976.0,7784.0,1977.0,213.0,2992.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,4,1,3
485950.0,4840.0,1978.5,206.0,795.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,4
160000.0,8600.0,2023.0,69.0,0.0,2.0,0.0,0.0,1.0,15.0,0.0,1,0,0,1,0
99000.0,4101.0,1959.0,170.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1,9,2,4
174000.0,7060.0,2023.0,61.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,3,0,3
355000.0,8430.0,2008.0,69.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1,0,3,1,0
326652.0,3500.0,2021.0,92.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,2,1,7
375000.0,9820.0,2024.0,84.0,0.0,1.0,1.0,0.0,1.0,34.0,0.0,1,0,2,0,1
324000.0,8650.0,2023.0,166.0,330.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0
99000.0,7100.0,1975.0,166.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,8,5,3
361500.0,6880.0,2023.0,127.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,2,0,10
489000.0,1740.0,1999.0,156.0,637.0,3.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,6
499900.0,9500.0,1994.0,260.0,0.0,5.0,0.0,1.0,1.0,960.0,0.0,1,0,3,1,1
225000.0,9308.0,1930.0,158.0,210.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,7,5,1
299000.0,9300.0,1972.0,255.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,3,0,1
349777.0,3210.0,2022.0,95.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,6
148000.0,1082.0,2024.0,42.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2,3,0,5
336060.0,5640.0,2023.0,104.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1,1,2,0,8
153900.0,2100.0,1977.0,60.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,4,1,2
335000.0,9500.0,1972.0,184.0,275.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,1
175000.0,2800.0,1918.0,95.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,7,2,2
269000.0,9308.0,2022.0,82.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,0,1
493000.0,2520.0,2024.0,184.0,374.0,4.0,0.0,1.0,1.0,190.0,0.0,0,0,0,0,2
235000.0,1360.0,2021.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,9
150000.0,1300.0,2022.0,83.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,5,0,9
682000.0,3000.0,2024.0,126.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,2,0,6
368000.0,8470.0,2023.0,166.0,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0
